sep=,
"NL-200400197","Rixona B.V.","02020914","26118","22629","Ja","26118","22091","Ja","26118","22980","Ja","26118","23638","Ja","26117","23642","Ja","24519","32065","Ja"
"NL-200400020","Rockwool B.V.","13014428","153010","192175","Ja","163929","150091","Ja","163929","147109","Ja","163929","150461","Ja","163928","139188","Ja","140582","120662","Ja"
"NL-200700105","Rodruza - Steenfabriek Rossum BV","10030798","15309","16265","Ja","15309","13619","Ja","15308","13003","Ja","15308","10388","Ja","15308","10100","Ja","12429","7834","Ja"
"NL-200700106","Rodruza - Steenfabriek Zandberg BV","10030798","26795","18363","Ja","26795","14624","Ja","26795","10409","Ja","26794","13917","Ja","26794","13378","Ja","16334","10218","Ja"
"NL-200700107","Ropa B.V.","27287643","23250","18938","Ja","25623","15244","Ja","25623","19910","Ja","25623","19808","Ja","25623","10971","Ja","-","-","-"
"NL-200800082","Rosier Nederland B.V.","21009167","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","18191","19086","Ja"
"NL-200700013","Royal Pride Holland BV - Middenmeer","18082234","70548","64596","Ja","76508","63496","Ja","76508","73206","Ja","76508","65361","Ja","76507","66734","Ja","31213","74262","Ja"
"NL-200700027","Rozenkwekerij de Trompet VOF","04075360","8378","8377","Ja","8377","0","Ja","-","-","-","-","-","-","-","-","-","-","-","-"
"NL-200400184","Ruigenhil Vastgoed B.V. Nedstaal BKG 1","23093134","58949","51505","Ja","58926","24881","Ja","58903","44951","Ja","58880","52210","Ja","58857","46639","Ja","22526","25409","Ja"
"NL-200400184a","Ruigenhil Vastgoed B.V. FNsteel BKG 2","23093134","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","24393","19732","Ja"
"NL-201000010","RWE Eemshaven Centrale","09198622","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","55431","Ja"
"NL-200400015","SABIC Innovative Plastics B.V. BKG 1","20079272","425433","385369","Ja","425433","275763","Ja","425433","344243","Ja","425432","310594","Ja","425432","330795","Ja","160075","345822","Ja"
"NL-200400015a","SABIC Innovative Plastics B.V. BKG 2","20079272","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","40877","3680","Ja"
"NL-200400236","Saint-Gobain Construction Products Nederland B.V.","20022420","51337","60940","Ja","51337","50424","Ja","51337","43309","Ja","51337","47892","Ja","51336","44163","Ja","46069","42023","Ja"
"NL-200400010","Sappi Maastricht BV","14631722","254902","248989","Ja","254902","187721","Ja","254902","208816","Ja","254902","187989","Ja","254901","193057","Ja","83177","158897","Ja"
"NL-200400012","InnovioPapers B.V.","10041104","90690","80812","Ja","90689","72549","Ja","90689","74205","Ja","90689","73158","Ja","90689","64348","Ja","64164","68726","Ja"
"NL-200400141","DS Smith Paper De Hoop Mill","08046917","238913","226731","Ja","238913","209171","Ja","238913","226782","Ja","238912","202265","Ja","238912","203172","Ja","94612","216334","Ja"
"NL-200500056","Schiphol Nederland B.V.","34166584","28525","28536","Ja","28525","26461","Ja","28524","28185","Ja","28524","23307","Ja","28524","22253","Ja","15898","19079","Ja"
"NL-200700098","Schreurs Holland BV","33261517","10675","7649","Ja","10675","8405","Ja","10675","10081","Ja","10675","8667","Ja","10675","2340","Ja","-","-","-"
"NL-200500010","Seasun Epsilon B.V. (Seasun Oost)","22058082","19807","15180","Ja","19807","12616","Ja","19807","15703","Ja","19807","14444","Ja","19806","16697","Ja","9336","15550","Ja"
"NL-200400152","Sensus B.V. Zwolle","20169318","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","10831","8557","Ja"
"NL-200400151","Sensus, vestiging Roosendaal","20169318","18066","12466","Ja","18066","16697","Ja","18066","16877","Ja","18065","15948","Ja","18065","13106","Ja","18880","13680","Ja"
"NL-200400047","Shell Nederland Chemie B.V., vestiging Moerdijk BKG 1","24082750","1941390","2004520","Ja","1941389","1943188","Ja","1941389","2122031","Ja","1941389","2077435","Ja","1941389","1995502","Ja","1084289","1003983","Ja"
"NL-200400047a","Shell Nederland Chemie B.V., vestiging Moerdijk BKG 2","24082750","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","210908","145809","Ja"
"NL-200400047b","Shell Nederland Chemie B.V., vestiging Moerdijk BKG 3","24082750","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","293449","205542","Ja"
"NL-200400047c","Shell Nederland Chemie B.V., vestiging Moerdijk BKG 4","24082750","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","128631","362691","Ja"
"NL-200400047d","Shell Nederland Chemie B.V., vestiging Moerdijk BKG 5","24082750","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","111262","90686","Ja"
"NL-200400047e","Shell Nederland Chemie B.V., vestiging Moerdijk BKG 6","24082750","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","152890","43258","Ja"
"NL-200400047f","Shell Nederland Chemie B.V., vestiging Moerdijk BKG 7","24082750","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","166604","15861","Ja"
"NL-200400047g","Shell Nederland Chemie B.V., vestiging Moerdijk BKG 8","24082750","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","181269","504712","Ja"
"NL-201100012","Shell Nederland Chemie B.V., vestiging Pernis","24082750","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","384605","39690","Ja"
"NL-200400021","Shell Nederland Raffinaderij B.V.","24094988","5176643","5151891","Ja","5176642","4463005","Ja","5176642","4134663","Ja","5176642","4113299","Ja","5176642","4094936","Ja","3357482","4334421","Ja"
"NL-200400110","Shin-Etsu PVC B.V. Locatie Botlek","34123402","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","105543","100189","Ja"
"NL-201000054","Simadan Holdings","34054994","-","-","-","-","-","-","-","-","-","0","648","Ja","0","485","Ja","-","-","-"
"NL-200400034","Siniat B.V.","02320379","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","20239","43885","Ja"
"NL-200800027","Sloe Centrale B.V.","22063828","-","-","-","341534","519149","Ja","2373814","1971161","Ja","2368621","1479636","Ja","2192157","1155240","Ja","0","1119570","Ja"
"NL-200400016","Smurfit Kappa Roermond Papier B.V.","13027128","158825","152546","Ja","158825","149975","Ja","158825","161839","Ja","158825","157890","Ja","158824","160265","Ja","143756","162738","Ja"
"NL-200400144","Smurfit Kappa Solid Board B.V. Bad Nieuweschans","02031366","38090","31985","Ja","38090","29258","Ja","38090","40287","Ja","38089","38987","Ja","38089","36372","Ja","33290","35450","Ja"
"NL-200400143","Smurfit Kappa Solid Board, locatie Coevorden","02031366","23195","22959","Ja","23195","23577","Ja","23195","24905","Ja","23195","20305","Ja","23194","19225","Ja","16416","16187","Ja"
"NL-200400208","Smurfit Kappa Solid Board, locatie Hoogkerk","02031366","25003","25159","Ja","25003","22183","Ja","25002","27107","Ja","25002","19901","Ja","25002","17437","Ja","27002","17313","Ja"
"NL-200400081","Smurfit Kappa Solid Board B.V., locatie Oude Pekela","02031366","24516","23434","Ja","24515","19937","Ja","24515","24159","Ja","24515","23661","Ja","24515","22920","Ja","17014","18176","Ja"
"NL-200400080","Smurfit Kappa Solid Board, locatie Oude Pekela KM1","02300918","14406","170","Ja","14406","93","Ja","14406","0","Ja","-","-","-","-","-","-","-","-","-"
"NL-200700108","Solidpack B.V.","02313313","11635","12221","Ja","11635","12516","Ja","11635","13142","Ja","11635","12936","Ja","11634","12758","Ja","14576","13203","Ja"
"NL-200400228","Sonac Burgum B.V.","59078561","35308","13801","Ja","35308","8666","Ja","35307","37396","Ja","35307","49407","Ja","35307","41072","Ja","32414","41412","Ja"
"NL-200400296","Sonac Vuren B.V.","59079266","15462","2078","Ja","15462","2250","Ja","15462","13128","Ja","15462","17629","Ja","15462","18119","Ja","25069","28236","Ja"
"NL-200400290","Sonneborn Refined Products","54991439","21161","21334","Ja","21161","19265","Ja","21161","22693","Ja","21161","22932","Ja","21160","23802","Ja","10714","19852","Ja"
"NL-200700109","Steenfabriek De Nijverheid BV","09031225","19233","21160","Ja","19233","20308","Ja","19233","17993","Ja","19233","14911","Ja","19233","16260","Ja","13192","13319","Ja"
"NL-200400133","Steenfabriek De Rijswaard BV","11014483","28648","26264","Ja","28648","25209","Ja","28647","22668","Ja","28647","26396","Ja","28647","24816","Ja","21871","25600","Ja"
"NL-200700110","Steenfabriek De Vlijt BV","09037761","9489","8317","Ja","9488","8559","Ja","9488","9121","Ja","9488","9327","Ja","9488","8955","Ja","6537","8560","Ja"
"NL-200700111","Steenfabriek Engels Helden BV","12000934","15467","16772","Ja","15467","13270","Ja","15467","12056","Ja","15466","14042","Ja","15466","12347","Ja","14516","10661","Ja"
"NL-200700112","Steenfabriek Engels Oeffelt BV","16050054","8233","15649","Ja","8233","10526","Ja","8233","10814","Ja","8233","11789","Ja","8232","9620","Ja","11766","10958","Ja"
"NL-200700113","Steenfabriek Gebroeders Klinkers BV","14621297","9623","8377","Ja","9623","6865","Ja","9623","7168","Ja","9623","7785","Ja","9623","6748","Ja","4924","7588","Ja"
"NL-200700115","Steenfabriek Linssen BV","14067911","4252","4084","Ja","4252","3444","Ja","4251","2298","Ja","4251","2609","Ja","4251","2712","Ja","3880","2317","Ja"
"NL-200700116","Steenindustrie Strating b.v.","02322990","6928","6128","Ja","6928","6385","Ja","6927","6291","Ja","6927","6107","Ja","6927","6839","Ja","4114","4206","Ja"
"NL-201100006","Steinzeug-Keramo BV","12016368","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4577","4693","Ja"
"NL-200600041","Stichting Beheer Cluster Bergschenhoek","24308465","10715","8152","Ja","10715","9309","Ja","10715","9134","Ja","10715","7831","Ja","10715","2982","Ja","-","-","-"
"NL-200400300","Stichting Katholieke Universiteit (SKU)","41055629","32568","25981","Ja","32568","26898","Ja","32568","29480","Ja","32568","24267","Ja","32568","24984","Ja","21472","25137","Ja"
"NL-200400122","Suiker Unie fabriek Dinteloord","20028699","129158","128078","Ja","129157","133387","Ja","164100","130308","Ja","164100","139508","Ja","164100","118126","Ja","108573","130735","Ja"
"NL-200400024","Suiker Unie fabriek Groningen","20028699","108834","1338","Ja","108834","2599","Ja","-","-","-","-","-","-","-","-","-","-","-","-"
"NL-200400286","Suiker Unie, productielocatie Breda","20028699","3106","1947","Ja","3106","0","Ja","-","-","-","-","-","-","-","-","-","-","-","-"
"NL-200400116","Suiker Unie, productielocatie Puttershoek","20028699","1160","713","Ja","1160","723","Ja","-","-","-","-","-","-","-","-","-","-","-","-"
"NL-200400289","Suiker Unie, productielocatie Vierverlaten","20028699","146970","110843","Ja","146970","130336","Ja","183736","121993","Ja","183736","137837","Ja","183736","106675","Ja","102080","102020","Ja"
"NL-200800041","Sweet Point Middenmeer BV","27259599","-","-","-","15942","14323","Ja","17892","18426","Ja","17892","16998","Ja","17892","4390","Ja","-","-","-"
"NL-200800015","T.W. van Noord Tomaten BV","24398612","14998","14769","Ja","14998","12013","Ja","14998","12648","Ja","14998","11746","Ja","14998","4956","Ja","-","-","-"
"NL-200400163","TAQA Offshore B.V., P15-C-D","27305268","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","95697","72178","Ja"
"NL-200400164","TAQA Onshore B.V.","27305268","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","33106","38252","Ja"
"NL-200400162","TAQA Piekgas B.V.","27273133","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","11469","7499","Ja"
"NL-200400186","Tata Steel IJmuiden bv BKG 1","34040331","10681631","6447676","Ja","10681631","5587863","Ja","11557631","6227169","Ja","11665630","6219430","Ja","11665630","5978494","Ja","10675128","5907619","Ja"
"NL-200400186a","Tata Steel IJmuiden bv BKG 2","34040331","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","68252","84924","Ja"
"NL-200400127","Tate & Lyle Netherlands B.V.","35014624","73040","76276","Ja","73040","74080","Ja","73040","72615","Ja","73040","72503","Ja","73040","72981","Ja","53366","77679","Ja"
"NL-200400210","Ten Cate Advanced Textiles B.V.","06063994","20356","18526","Ja","20356","15157","Ja","20356","18045","Ja","20356","17703","Ja","20355","14330","Ja","19195","17821","Ja"
"NL-200400211","Ten Cate Protect B.V.","06036546","7390","3518","Ja","7390","1695","Ja","7390","2141","Ja","7389","2567","Ja","7389","2106","Ja","7250","5828","Ja"
"NL-200400191","Total offshore platform F15A","27157042","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","17573","20310","Ja"
"NL-200400193","Total offshore platform K5 Central Complex","27157042","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","90891","107961","Ja"
"NL-200400192","Total offshore platform K6 Central Complex","27157042","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","48472","55994","Ja"
"NL-200400190","Total offshore platform L7 Central Complex","27157042","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","50418","66935","Ja"
"NL-200400200","Zeeland Refinery","22020666","1683985","1664534","Ja","1664140","1377716","Ja","1674135","1482721","Ja","1683483","1590073","Ja","1674634","1479859","Ja","1334911","1542691","Ja"
"NL-200400270","TU Delft, Warmte-Krachtcentrale","27237924","15188","13454","Ja","15187","13849","Ja","15187","15858","Ja","15187","11380","Ja","15187","13269","Ja","11004","18294","Ja"
"NL-200400259","UMC Utrecht","30244197","21943","23296","Ja","21943","24666","Ja","21943","26960","Ja","21942","25172","Ja","21942","25734","Ja","9882","25421","Ja"
"NL-200400237","Unilever Nederland Foods Factories BV, sourcing unit Oss","32043472","15874","16849","Ja","15874","16180","Ja","15874","16449","Ja","15874","14486","Ja","15874","13569","Ja","12602","13557","Ja"
"NL-200400131","Sime Darby Unimills B.V.","24328835","51445","52090","Ja","51445","53050","Ja","51444","54640","Ja","51444","51827","Ja","51444","53013","Ja","35302","53378","Ja"
"NL-200400086","Universiteit Utrecht, locatie De Uithof","30275924","58603","53727","Ja","58603","53947","Ja","58603","49489","Ja","58602","42391","Ja","58602","40640","Ja","22468","37285","Ja"
"NL-200700117","VOF De Driemaster","27176332","8837","8359","Ja","8837","8083","Ja","8837","9089","Ja","8837","2125","Ja","-","-","-","-","-","-"
"NL-200700118","V.o.F. firma Oussoren","24277042","13275","14971","Ja","13275","12586","Ja","13275","13498","Ja","13275","13491","Ja","13275","2982","Ja","-","-","-"
"NL-200700119","Van Dijk Bedrijven Holding b.v.","30056775","13016","3397","Ja","13016","2856","Ja","13016","4169","Ja","13016","1357","Ja","13016","1367","Ja","-","-","-"
"NL-200400107","Van Houtum Holding B.V.","13029403","24951","23474","Ja","24951","24114","Ja","24951","24221","Ja","24950","24154","Ja","24950","24304","Ja","14870","24312","Ja"
"NL-200400023","Van Twiller B.V.","34301547","252244","3631","Ja","252244","194","Ja","252244","1576","Ja","252244","1662","Ja","252243","0","Ja","-","-","-"
"NL-200800054","Vd Berg Roses CV","27215657","11007","3990","Ja","13843","10559","Ja","13843","11303","Ja","13843","11019","Ja","13843","4494","Ja","-","-","-"
"NL-201000048","Vereijken Energie BV, locatie Beek en Donk","17187155","-","-","-","-","-","-","15265","15199","Ja","15265","11723","Ja","15265","6792","Ja","-","-","-"
"NL-200700123","Vereijken Energie BV, locatie Someren-Eind","17097743","11690","10670","Ja","12629","10385","Ja","12629","10561","Ja","12629","9242","Ja","12629","3576","Ja","-","-","-"
"NL-200400272","Stichting VU-VUmc","40530948","39750","48423","Ja","39750","49516","Ja","39750","50337","Ja","39750","47901","Ja","39749","45742","Ja","15626","39200","Ja"
"NL-200700081","Vivaio Peters B.V.","17104187","9954","9710","Ja","9954","8254","Ja","9953","10433","Ja","9953","3006","Ja","-","-","-","-","-","-"
"NL-200400232","Vlisco Netherlands B.V.","50751492","22113","18026","Ja","22113","18926","Ja","22113","21716","Ja","22112","24036","Ja","22112","28453","Ja","22561","33756","Ja"
"NL-201100113","Vopak Terminal Amsterdam Westpoort B.V.","24406191","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","65","Ja"
"NL-200700124","Vopak Terminal Botlek B.V.","24110168","14803","11217","Ja","14803","9199","Ja","14802","9284","Ja","14802","7038","Ja","14802","6067","Ja","8450","7374","Ja"
"NL-201000007","Vopak Terminal Eemshaven B.V. (VTEH)","24445591","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","4","Ja"
"NL-200800026","Vopak Terminal Europoort B.V.","24086473","14561","15236","Ja","14561","16377","Ja","14561","22212","Ja","14560","21425","Ja","14560","21532","Ja","7137","21111","Ja"
"NL-200500053","Vopak Terminal Vlaardingen B.V.","24065756","26427","19356","Ja","26427","16007","Ja","26426","12981","Ja","26426","13613","Ja","26426","12809","Ja","13000","13953","Ja"
"NL-200800058","Vopak Terminal Vlissingen B.V.","22034940","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2257","4621","Ja"
"NL-200700125","W.A. Sanders Coldenhove Holding B.V.","08003231","13743","15157","Ja","13742","14000","Ja","13742","15081","Ja","13742","8792","Ja","13742","9959","Ja","8385","9811","Ja"
"NL-200700126","Wienerberger B.V. Steenfabriek Bemmel","17078258","9001","8252","Ja","9001","7442","Ja","9001","7377","Ja","9001","7695","Ja","9000","5467","Ja","4278","4659","Ja"
"NL-200700127","Wienerberger B.V. Steenfabriek Daams","17078258","8477","7905","Ja","8477","2492","Ja","-","-","-","-","-","-","-","-","-","-","-","-"
"NL-200700128","Wienerberger B.V. Steenfabriek De Roodvoet","17078258","17682","8111","Ja","17681","1642","Ja","-","-","-","-","-","-","-","-","-","-","-","-"
"NL-200700129","Wienerberger B.V. Steenfabriek Doorwerth","17078258","13036","12203","Ja","13035","5969","Ja","13035","6661","Ja","13035","1","Ja","13035","4","Ja","-","-","-"
"NL-200700130","Wienerberger B.V. Steenfabriek Erlecom","17078258","16798","16546","Ja","16798","14083","Ja","16798","13648","Ja","16798","13848","Ja","16797","10552","Ja","12119","11003","Ja"
"NL-200700131","Wienerberger B.V. Steenfabriek Esbeek","17078258","6153","3630","Ja","6153","0","0","-","-","-","-","-","-","-","-","-","-","-","-"
"NL-200700132","Wienerberger B.V. Steenfabriek Haaften","17078258","18073","16470","Ja","18073","13019","Ja","18073","16694","Ja","18072","14979","Ja","18072","10232","Ja","15548","12586","Ja"
"NL-200700153","Wienerberger B.V. Steenfabriek Heteren","17078258","9944","9283","Ja","9943","9026","Ja","9943","9242","Ja","9943","9460","Ja","9943","7427","Ja","8169","7995","Ja"
"NL-200700154","Wienerberger B.V. Steenfabriek Kijfwaard Oost","17078258","14551","15873","Ja","14551","15067","Ja","14551","12759","Ja","14550","12321","Ja","14550","9092","Ja","14769","8851","Ja"
"NL-200700158","Wienerberger B.V. Steenfabriek Kijfwaard West","17078258","31038","26538","Ja","31037","24468","Ja","31037","25040","Ja","31037","26731","Ja","31037","20815","Ja","26139","21753","Ja"
"NL-200700155","Wienerberger B.V. Steenfabriek Milsbeek","17078258","3834","2392","Ja","3834","0","Ja","-","-","-","-","-","-","-","-","Ja","-","-","-"
"NL-200700156","Wienerberger B.V. Steenfabriek Nuance","17078258","6679","5692","Ja","6679","5144","Ja","6679","4849","Ja","6678","5858","Ja","6678","5308","Ja","4041","5409","Ja"
"NL-200700157","Wienerberger B.V. Steenfabriek Poriso","17078258","22495","30510","Ja","22495","26356","Ja","22495","28979","Ja","22494","30847","Ja","22494","19532","Ja","27659","15174","Ja"
"NL-200700163","Wienerberger B.V. Steenfabriek Schipperswaard","17078258","10109","10893","Ja","10108","7133","Ja","10108","7155","Ja","10108","6478","Ja","10108","6476","Ja","10066","433","Ja"
"NL-200700159","Wienerberger B.V. Steenfabriek Thorn","17078258","14144","10190","Ja","14144","9282","Ja","14144","8661","Ja","14143","8774","Ja","14143","6358","Ja","8559","6841","Ja"
"NL-200700160","Wienerberger B.V. Steenfabriek Timmermans","17078258","12989","10188","Ja","12989","5140","Ja","-","-","-","-","-","-","-","-","-","-","-","-"
"NL-200700161","Wienerberger B.V. Steenfabriek Wolfswaard","17078258","21362","20434","Ja","21361","13423","Ja","21361","11602","Ja","21361","11882","Ja","21361","7174","Ja","14759","9347","Ja"
"NL-200700162","Wienerberger B.V. Steenfabriek Zennewijnen","17078258","13326","13776","Ja","13326","6446","Ja","13326","8710","Ja","13325","7471","Ja","13325","7255","Ja","11104","8369","Ja"
"NL-201100014","Wienerberger B.V. Dakpannenfabriek Narvik Deest","17078258","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9458","8313","Ja"
"NL-201100013","Wienerberger B.V. Dakpannenfabriek Janssen Dings","17078258","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","16932","10823","Ja"
"NL-201100015","Wienerberger B.V. Dakpanfabriek Narvik Tegelen","17078258","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9409","6903","Ja"
"NL-200700164","Wijnen Paprika's B.V.","12053573","20914","24619","Ja","20914","23124","Ja","20914","18864","Ja","20913","18038","Ja","20913","18962","Ja","-","-","-"
"NL-200900008","Wijnen Facilities B.V.","12035445","-","-","-","6176","6321","Ja","21577","20161","Ja","21577","20576","Ja","21577","18155","Ja","18361","3493","Ja"
"NL-200800080","Wintershall Noordzee B.V. F16-A","27100034","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","27212","39217","Ja"
"NL-200400282","Hoorn - Chevron Exploration and Production Netherlands B.V.","27114238","15510","11751","Ja","15510","12625","Ja","15509","11777","Ja","15509","11426","Ja","15509","11537","Ja","16412","13236","Ja"
"NL-200400178","Wintershall Noordzee B.V. Kotter K18","27100034","32140","18619","Ja","32139","8179","Ja","32139","7015","Ja","32139","7280","Ja","32139","3682","Ja","-","-","-"
"NL-200400180","Wintershall Noordzee B.V. L8-P4","27100034","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","41590","46781","Ja"
"NL-200400179","Wintershall Noordzee B.V. P6-A","27100034","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","41788","59598","Ja"
"NL-200400185","WKC Akzo Nobel Center Energie BV","31038214","29886","24243","Ja","29886","25410","Ja","29886","25185","Ja","29886","8619","Ja","29885","0","Ja","-","-","-"
"NL-200400125","WKC De Eendracht bv","01134145","76694","0","Ja","76694","0","Ja","76694","10","Ja","76694","20","Ja","76693","0","Ja","-","-","-"
"NL-200700168","Wormdal Vastgoed BV","14053845","5445","6024","Ja","5445","5064","Ja","12946","9902","Ja","12946","2640","Ja","12944","3493","Ja","6850","202","Ja"
"NL-200400026","Yara Sluiskil B.V. BKG 1","21001824","898293","550034","Ja","898293","499421","Ja","817582","399180","Ja","817581","394033","Ja","736871","431268","Ja","626586","698597","Ja"
"NL-200400026a","Yara Sluiskil B.V. BKG 2","21001824","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","934476","1185536","Ja"
"NL-200400026b","Yara Sluiskil B.V. BKG 3","21001824","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1008573","1224587","Ja"
"NL-200400026c","Yara Sluiskil B.V. BKG 4","21001824","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","169204","62839","Ja"
"NL-200400026d","Yara Sluiskil B.V. BKG 5","21001824","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","213925","140411","Ja"
"NL-200400026e","Yara Sluiskil B.V. BKG 6","21001824","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","428877","228464","Ja"
"NL-201300333","Zalco B.V.","55525695","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","2767","Ja"
"NL-200400304","Zuurbier en Co Rozenkwekerijen B.V.","37039120","18020","20158","Ja","22390","18692","Ja","28508","23392","Ja","28508","22469","Ja","28508","4412","Ja","-","-","-"
